id,title,author,url,genre,all_genres,sample_path
137049,Autobahn,S-B-J,https://freemusicarchive.org/music/SBJ/Singles_1952/S-B-J_-_01_-Autobahn/,Electronic,"[184, 15, 236, 183]",fma/selected_samples/137049.wav
52635,Ecstasy X,Jason Shaw,https://freemusicarchive.org/music/Jason_Shaw/Audionautix_Tech_Urban_Dance/TU-EcstasyX/,Electronic,"[181, 15]",fma/selected_samples/52635.wav
145814,Shapes Within the Jade,Nihilore,https://freemusicarchive.org/music/Nihilore/A_Human_Work/Nihilore_-_A_Human_Work_-_07_Shapes_Within_the_Jade/,Electronic,"[495, 236, 15]",fma/selected_samples/145814.wav
89817,Sustem 240,ENDRUDARK,https://freemusicarchive.org/music/ENDRUDARK/Dreams/04_-_Sustem_240/,Electronic,"[296, 181, 15]",fma/selected_samples/89817.wav
76656,Transit,Decktonic,https://freemusicarchive.org/music/Decktonic/Forgotten_Machines/Decktonic_-_Forgotten_Machines_-_03_Transit/,Electronic,"[297, 181, 182, 15]",fma/selected_samples/76656.wav
72068,B@$$ J▲|\/|,Decktonic,https://freemusicarchive.org/music/Decktonic/Stars/Decktonic_-_Stars_-_02_B_J-/,Electronic,"[297, 468, 182, 15]",fma/selected_samples/72068.wav
52649,The Big House,Jason Shaw,https://freemusicarchive.org/music/Jason_Shaw/Audionautix_Tech_Urban_Dance/TU-TheBigHouse/,Electronic,"[181, 15]",fma/selected_samples/52649.wav
145808,Absolute Terror,Nihilore,https://freemusicarchive.org/music/Nihilore/A_Human_Work/Nihilore_-_A_Human_Work_-_01_Absolute_Terror/,Electronic,"[495, 236, 15]",fma/selected_samples/145808.wav
52630,Quirky Jerk,Jason Shaw,https://freemusicarchive.org/music/Jason_Shaw/Audionautix_Tech_Urban_Dance/RP-QuirkyJerk/,Electronic,"[181, 15]",fma/selected_samples/52630.wav
141617,The Secret Garden,Barbarix,https://freemusicarchive.org/music/Barbarix/The_Mystics/02_The_Secret_Garden/,Electronic,"[42, 468, 15]",fma/selected_samples/141617.wav
123918,It Can't Be Bargained With,Three Chain Links,https://freemusicarchive.org/music/Three_Chain_Links/The_Happiest_Days_Of_Our_Lives/Three_Chain_Links_-_05_-_It_Cant_Be_Bargained_With/,Electronic,[15],fma/selected_samples/123918.wav
47072,Come and Find Me,Eric Skiff,https://freemusicarchive.org/music/Eric_Skiff/Resistor_Anthems/eric_skiff_-_05_-_come_and_find_me/,Electronic,"[240, 297, 15]",fma/selected_samples/47072.wav
132138,OST 13 More Aliens!,sawsquarenoise,https://freemusicarchive.org/music/sawsquarenoise/RottenMage_SpaceJacked/13_1327/,Electronic,"[240, 297, 15]",fma/selected_samples/132138.wav
114335,Кокафоин (Cocaphoine),DUB DEPT,https://freemusicarchive.org/music/DUB_DEPT/none_given_2351/DUB_DEPT_-__Cocaphoine_-_03__Cocaphoine/,Electronic,[15],fma/selected_samples/114335.wav
24928,Summer Tour Bird Windows,Sawako,https://freemusicarchive.org/music/Sawako/Summer_Tour_Remix_v1/10_Summer_Tour_Bird_Windows/,Electronic,"[42, 15]",fma/selected_samples/24928.wav
47075,Ascending,Eric Skiff,https://freemusicarchive.org/music/Eric_Skiff/Resistor_Anthems/eric_skiff_-_08_-_ascending/,Electronic,"[240, 297, 15]",fma/selected_samples/47075.wav
