participant_id,case_id,category,melody,harmony,rhythm,voice,timbre
P019,c_082,AS,Neither,Neither,Neither,,Neither
P150,c_081,AS,Neither,Neither,Neither,,Neither
P019,c_031,HV,Neither,Neither,B,A,B
P150,c_054,AS,Neither,Neither,Neither,,Neither
P150,c_099,AS,Neither,Neither,Neither,,Neither
P019,c_203,HP,Neither,Neither,Neither,B,Neither
P019,c_096,AS,Neither,Neither,Neither,,Neither
P150,c_032,HV,Neither,B,Neither,Neither,A
P019,c_043,HV,B,B,B,B,B
P019,c_017,HP,A,A,A,,A
P150,c_034,HV,B,B,B,B,B
P150,c_020,HP,B,B,B,,Neither
P019,c_077,AS,A,Neither,Neither,,Neither
P103,c_063,AS,A,Neither,Neither,,Neither
P019,c_029,HP,Neither,Neither,Neither,A,A
P150,c_005,HP,A,A,A,Neither,Neither
P150,c_031,HV,Neither,Neither,Neither,B,Neither
P150,c_078,AS,Neither,A,B,,Neither
P019,c_090,AS,Neither,Neither,Neither,,Neither
P150,c_100,AS,Neither,Neither,Neither,,Neither
P019,c_012,HP,Neither,B,B,,B
P103,c_060,AS,Neither,Neither,Neither,,B
P103,c_033,HV,A,A,Neither,B,B
P103,c_073,AS,Neither,B,Neither,,Neither
P103,c_025,HP,B,B,Neither,A,A
P103,c_034,HV,B,B,B,Neither,Neither
P103,c_087,AS,Neither,Neither,Neither,,B
P103,c_203,HP,Neither,Neither,Neither,B,Neither
P103,c_031,HV,Neither,Neither,Neither,Neither,Neither
P103,c_096,AS,Neither,A,A,,A
P056,c_098,AS,Neither,Neither,Neither,,A
P056,c_027,HP,B,B,B,Neither,B
P056,c_038,HV,B,A,A,,B
P056,c_030,HP,A,A,A,,A
P056,c_074,AS,Neither,Neither,B,,Neither
P056,c_022,HP,B,Neither,A,Neither,Neither
P056,c_053,AS,Neither,Neither,Neither,,Neither
P056,c_092,AS,Neither,Neither,B,,Neither
P056,c_054,AS,A,A,A,,Neither
P056,c_205,HP,B,B,B,B,B
P016,c_205,HP,B,B,B,Neither,B
P016,c_057,AS,Neither,A,Neither,,Neither
P016,c_090,AS,Neither,Neither,B,,Neither
P016,c_095,AS,Neither,A,Neither,,Neither
P016,c_074,AS,Neither,Neither,Neither,,Neither
P016,c_082,AS,Neither,Neither,B,,Neither
P016,c_035,HV,A,A,A,B,B
P016,c_097,AS,Neither,Neither,B,,Neither
P016,c_091,AS,Neither,Neither,Neither,,Neither
P016,c_052,AS,Neither,Neither,Neither,,Neither
P016,c_010,HV,B,Neither,B,,B
P116,c_038,HV,B,A,A,,A
P116,c_026,HP,A,A,A,A,A
P116,c_015,HP,A,B,Neither,A,A
P041,c_098,AS,Neither,Neither,A,,Neither
P116,c_101,HP,Neither,A,A,Neither,B
P041,c_027,HP,B,B,B,A,B
P041,c_071,AS,Neither,Neither,B,,Neither
P116,c_082,AS,Neither,A,A,,A
P041,c_092,AS,Neither,Neither,A,,Neither
P041,c_036,HV,A,A,A,A,A
P041,c_091,AS,Neither,Neither,A,,Neither
P041,c_201,HP,B,B,B,B,B
P041,c_088,AS,Neither,Neither,Neither,,A
P041,c_034,HV,B,B,B,B,Neither
P041,c_040,HV,Neither,Neither,Neither,B,B
P041,c_075,AS,Neither,Neither,B,,Neither
P041,c_089,AS,Neither,Neither,Neither,,B
P041,c_066,AS,Neither,Neither,Neither,,Neither
P078,c_061,AS,B,Neither,B,,B
P078,c_085,AS,Neither,Neither,B,,A
P078,c_035,HV,A,A,B,B,B
P078,c_076,AS,Neither,Neither,B,,B
P078,c_006,HV,A,A,B,,B
P116,c_076,AS,Neither,B,B,,A
P116,c_096,AS,Neither,A,B,,A
P116,c_011,HP,A,B,A,B,B
P116,c_053,AS,Neither,A,B,,B
P116,c_090,AS,A,Neither,B,,B
P078,c_016,HP,A,B,B,B,B
P078,c_069,AS,Neither,A,Neither,,A
P078,c_052,AS,A,A,B,,B
P078,c_019,HP,B,B,B,B,B
P078,c_021,HP,A,A,A,A,A
P173,c_062,AS,B,Neither,Neither,,Neither
P173,c_041,HV,Neither,Neither,A,A,A
P173,c_066,AS,Neither,B,B,,B
P173,c_094,AS,Neither,Neither,Neither,,Neither
P173,c_083,AS,B,B,Neither,,Neither
P173,c_025,HP,B,Neither,B,A,A
P173,c_104,HP,B,Neither,B,B,Neither
P173,c_060,AS,Neither,Neither,B,,Neither
P173,c_087,AS,Neither,B,Neither,,B
P173,c_033,HV,A,A,A,B,B
P173,c_051,AS,Neither,Neither,Neither,,Neither
P173,c_103,HP,A,A,A,A,A
P067,c_026,HP,A,A,A,A,Neither
P067,c_055,AS,Neither,Neither,Neither,,B
P067,c_011,HP,A,A,Neither,B,B
P067,c_077,AS,B,B,B,,B
P067,c_012,HP,Neither,Neither,B,,B
P148,c_077,AS,B,A,B,,B
P067,c_024,HP,Neither,B,B,B,Neither
P148,c_069,AS,Neither,Neither,Neither,,Neither
P067,c_004,HP,A,Neither,Neither,Neither,Neither
P067,c_075,AS,Neither,B,B,,Neither
P148,c_071,AS,Neither,Neither,Neither,,Neither
P067,c_076,AS,Neither,Neither,Neither,,Neither
P148,c_003,HP,B,B,B,A,A
P067,c_057,AS,Neither,Neither,A,,Neither
P148,c_085,AS,Neither,B,Neither,,A
P040,c_032,HV,Neither,Neither,Neither,Neither,A
P148,c_043,HV,Neither,B,B,B,B
P040,c_027,HP,B,B,B,A,Neither
P148,c_063,AS,A,Neither,Neither,,Neither
P040,c_012,HP,B,Neither,B,,Neither
P148,c_028,HP,A,Neither,A,Neither,B
P148,c_017,HP,A,A,A,,B
P040,c_021,HP,B,A,Neither,Neither,A
P148,c_041,HV,Neither,B,Neither,A,A
P040,c_009,HV,A,Neither,A,Neither,A
P040,c_057,AS,Neither,A,Neither,,Neither
P040,c_067,AS,Neither,Neither,Neither,,Neither
P040,c_054,AS,A,A,Neither,,Neither
P040,c_017,HP,A,A,A,,A
P040,c_056,AS,Neither,Neither,Neither,,A
P085,c_084,AS,Neither,B,A,,Neither
P085,c_037,HV,B,B,B,B,A
P085,c_016,HP,A,Neither,B,Neither,A
P085,c_053,AS,Neither,Neither,Neither,,Neither
P085,c_104,HP,B,B,B,Neither,Neither
P085,c_025,HP,B,B,B,Neither,B
P085,c_059,AS,Neither,A,Neither,,Neither
P085,c_062,AS,Neither,Neither,Neither,,Neither
P085,c_042,HV,B,B,B,,B
P085,c_024,HP,Neither,Neither,B,Neither,B
P085,c_028,HP,A,A,A,A,A
P085,c_071,AS,Neither,Neither,Neither,,B
P085,c_088,AS,Neither,Neither,Neither,,A
P085,c_026,HP,A,A,A,A,A
P085,c_107,HV,Neither,A,A,A,A
P148,c_058,AS,Neither,Neither,A,,Neither
P148,c_095,AS,Neither,A,Neither,,A
P148,c_075,AS,Neither,Neither,B,,Neither
P148,c_044,HV,A,A,A,Neither,Neither
P148,c_203,HP,Neither,B,Neither,Neither,Neither
P148,c_029,HP,Neither,B,A,Neither,Neither
P148,c_019,HP,Neither,B,B,B,Neither
P148,c_086,AS,Neither,B,Neither,,A
P148,c_099,AS,Neither,Neither,Neither,,Neither
P075,c_010,HV,B,B,B,,B
P148,c_024,HP,B,B,B,Neither,B
P075,c_022,HP,B,B,B,B,A
P075,c_051,AS,Neither,Neither,Neither,,Neither
P075,c_070,AS,B,Neither,B,,Neither
P075,c_023,HP,A,A,A,B,A
P075,c_043,HV,Neither,B,B,B,B
P075,c_021,HP,A,A,A,Neither,A
P075,c_045,HV,Neither,Neither,Neither,A,B
P075,c_040,HV,Neither,Neither,B,Neither,B
P075,c_036,HV,A,A,A,A,A
P075,c_078,AS,Neither,Neither,A,,Neither
P075,c_033,HV,A,A,A,B,A
P075,c_100,AS,Neither,Neither,Neither,,Neither
P012,c_018,HP,Neither,Neither,A,,A
P012,c_089,AS,A,A,Neither,,B
P012,c_056,AS,B,B,Neither,,A
P012,c_078,AS,B,A,B,,B
P012,c_079,AS,B,B,Neither,,Neither
P012,c_099,AS,A,A,Neither,,Neither
P012,c_102,HP,B,B,B,Neither,A
P012,c_016,HP,B,B,A,B,A
P012,c_032,HV,B,A,Neither,Neither,B
P012,c_059,AS,B,B,B,,A
P124,c_073,AS,A,A,B,,Neither
P124,c_079,AS,Neither,Neither,A,,B
P124,c_030,HP,A,A,Neither,,A
P124,c_005,HP,A,A,A,Neither,A
P124,c_040,HV,A,B,B,Neither,Neither
P124,c_085,AS,B,A,Neither,,A
P124,c_072,AS,A,A,B,,Neither
P124,c_067,AS,A,A,Neither,,Neither
P124,c_020,HP,B,B,B,,B
P124,c_056,AS,A,A,A,,A
P124,c_018,HP,A,A,B,,B
P124,c_080,AS,A,A,B,,A
P115,c_045,HV,B,B,A,A,A
P115,c_013,HP,A,A,A,B,B
P115,c_069,AS,A,Neither,Neither,,Neither
P115,c_086,AS,A,B,Neither,,A
P115,c_092,AS,Neither,A,A,,A
P115,c_063,AS,A,A,B,,B
P115,c_037,HV,B,B,A,A,A
P115,c_036,HV,A,A,A,A,A
P115,c_067,AS,B,Neither,Neither,,Neither
P115,c_202,HP,Neither,B,Neither,,Neither
P115,c_065,AS,Neither,Neither,Neither,,Neither
P115,c_061,AS,B,Neither,B,,A
P115,c_084,AS,B,B,B,,A
P115,c_004,HP,A,A,A,B,B
P115,c_068,AS,A,A,Neither,,Neither
P115,c_089,AS,A,B,Neither,,A
P003,c_059,AS,Neither,A,Neither,,A
P003,c_014,HP,B,B,B,B,B
P003,c_094,AS,Neither,Neither,B,,Neither
P003,c_013,HP,A,A,A,B,B
P003,c_065,AS,B,Neither,Neither,,B
P003,c_044,HV,A,A,A,B,B
P003,c_002,HP,A,Neither,A,Neither,B
P003,c_045,HV,Neither,A,Neither,B,B
P003,c_030,HP,A,A,A,,Neither
P003,c_061,AS,B,Neither,B,,A
P164,c_205,HP,B,Neither,B,B,B
P164,c_015,HP,A,A,A,A,A
P164,c_039,HV,A,A,A,Neither,Neither
P164,c_081,AS,Neither,A,B,,B
P095,c_072,AS,Neither,Neither,Neither,,B
P095,c_084,AS,B,B,Neither,,Neither
P095,c_068,AS,Neither,A,A,,B
P095,c_095,AS,Neither,B,A,,A
P095,c_037,HV,B,B,A,A,A
P095,c_009,HV,Neither,Neither,A,Neither,B
P095,c_042,HV,Neither,A,B,,B
P095,c_015,HP,Neither,A,A,A,Neither
P095,c_080,AS,Neither,A,Neither,,B
P095,c_055,AS,Neither,B,Neither,,Neither
P095,c_093,AS,Neither,Neither,B,,Neither
P095,c_004,HP,A,A,A,Neither,Neither
P074,c_103,HP,A,A,A,A,A
P095,c_058,AS,B,A,Neither,,Neither
P095,c_029,HP,Neither,Neither,B,Neither,Neither
P074,c_070,AS,Neither,Neither,Neither,,Neither
P095,c_083,AS,B,Neither,Neither,,B
P095,c_086,AS,Neither,Neither,Neither,,Neither
P074,c_068,AS,A,A,A,,A
P095,c_051,AS,Neither,Neither,Neither,,Neither
P074,c_065,AS,A,A,B,,B
P095,c_097,AS,Neither,Neither,B,,Neither
P074,c_080,AS,Neither,Neither,B,,B
P095,c_073,AS,B,B,B,,A
P074,c_093,AS,Neither,A,B,,Neither
P095,c_014,HP,B,B,Neither,Neither,Neither
P074,c_064,AS,A,A,A,,B
P095,c_039,HV,A,A,Neither,Neither,A
P074,c_055,AS,A,A,A,,A
P095,c_018,HP,A,B,Neither,,Neither
P074,c_042,HV,B,B,A,,B
P095,c_081,AS,Neither,A,Neither,,Neither
P095,c_007,HV,Neither,Neither,B,Neither,Neither
P074,c_081,AS,B,B,B,,A
P095,c_064,AS,A,B,A,,Neither
P045,c_189,AS,Neither,Neither,Neither,,Neither
P045,c_164,AS,Neither,Neither,Neither,,Neither
P045,c_156,AS,Neither,Neither,Neither,,Neither
P045,c_163,AS,B,Neither,Neither,,Neither
P045,c_191,AS,Neither,B,Neither,,Neither
P045,c_181,AS,A,A,A,,A
P045,c_003,HP,B,B,B,A,A
P045,c_119,HP,B,Neither,B,A,B
P045,c_162,AS,Neither,Neither,Neither,,Neither
P045,c_184,AS,Neither,Neither,Neither,,Neither
P045,c_010,HV,B,B,B,,B
P045,c_172,AS,Neither,Neither,Neither,,Neither
P045,c_130,HP,Neither,B,Neither,Neither,B
P045,c_122,HP,A,A,A,,A
P045,c_121,HP,A,A,B,B,A
P045,c_153,AS,Neither,Neither,Neither,,A
P045,c_152,AS,Neither,Neither,Neither,,Neither
P045,c_127,HP,A,A,A,A,A
P045,c_175,AS,Neither,Neither,Neither,,Neither
P045,c_183,AS,Neither,Neither,Neither,,Neither
P045,c_111,HP,A,A,B,Neither,B
P045,c_104,HP,B,Neither,B,Neither,Neither
P045,c_186,AS,Neither,Neither,Neither,,Neither
P045,c_142,HV,A,A,A,B,A
P045,c_199,AS,Neither,Neither,Neither,,Neither
P101,c_177,AS,Neither,Neither,Neither,,Neither
P101,c_121,HP,A,A,A,Neither,B
P101,c_162,AS,Neither,Neither,A,,Neither
P101,c_152,AS,Neither,B,B,,Neither
P101,c_193,AS,Neither,Neither,Neither,,Neither
P101,c_114,HP,A,A,Neither,Neither,Neither
P101,c_113,HP,A,A,A,Neither,Neither
P101,c_005,HP,A,A,A,Neither,A
P101,c_170,AS,Neither,Neither,Neither,,Neither
P101,c_137,HV,Neither,Neither,Neither,,B
P043,c_143,HV,Neither,B,B,Neither,Neither
P043,c_153,AS,Neither,B,Neither,,B
P043,c_189,AS,B,Neither,B,,B
P043,c_102,HP,B,B,B,A,B
P043,c_167,AS,A,A,A,,Neither
P043,c_128,HP,A,A,Neither,A,A
P043,c_116,HP,A,A,B,A,A
P043,c_175,AS,B,B,B,,B
P043,c_131,HV,A,A,A,B,A
P043,c_134,HV,B,B,B,B,B
P043,c_144,HV,B,B,Neither,B,B
P043,c_168,AS,A,A,A,,Neither
P043,c_195,AS,B,B,B,,Neither
P043,c_196,AS,A,A,A,,A
P043,c_198,AS,B,B,B,,Neither
P043,c_301,HP,B,B,B,,B
P043,c_138,HV,B,B,B,B,B
P043,c_154,AS,A,A,Neither,,A
P043,c_125,HP,B,B,B,B,B
P043,c_161,AS,B,B,B,,B
P043,c_122,HP,A,A,A,,A
P043,c_155,AS,B,B,Neither,,B
P043,c_192,AS,B,B,Neither,,B
P043,c_118,HP,B,B,B,,B
P043,c_117_1,HP,B,B,B,B,B
P043,c_186,AS,B,B,A,,A
P043,c_101,HP,A,A,Neither,A,A
P043,c_139,HV,A,A,A,Neither,A
P043,c_123,HP,A,A,A,,A
P043,c_112,HP,A,A,B,A,A
P043,c_184,AS,A,A,A,,A
P043,c_170,AS,B,B,B,,B
P136,c_048,HV,A,A,Neither,Neither,Neither
P136,c_046,HV,A,A,Neither,Neither,A
P136,c_050,HV,A,A,A,A,Neither
P136,c_049,HV,B,B,B,,B
P136,c_110,HV,A,A,A,A,A
P136,c_047,HV,B,B,B,,B
P136,c_114,HP,Neither,Neither,Neither,B,B
P136,c_166,AS,Neither,Neither,Neither,,Neither
P136,c_146,HV,Neither,Neither,A,,A
P136,c_176,AS,Neither,Neither,Neither,,Neither
P170,c_049,HV,B,B,B,,B
P170,c_050,HV,A,A,A,Neither,A
P170,c_046,HV,A,A,Neither,B,Neither
P170,c_048,HV,A,A,A,Neither,Neither
P170,c_047,HV,B,Neither,B,,B
P170,c_115,HP,Neither,Neither,A,Neither,A
P170,c_208,HV,B,B,B,Neither,Neither
P170,c_180,AS,Neither,A,B,,Neither
P170,c_136,HV,B,Neither,Neither,Neither,Neither
P170,c_187,AS,B,Neither,Neither,,Neither
P114,c_046,HV,A,A,B,B,B
P114,c_049,HV,B,B,B,,B
P114,c_047,HV,B,B,B,,B
P114,c_048,HV,A,A,Neither,A,Neither
P114,c_050,HV,A,A,A,A,Neither
P114,c_199,AS,Neither,Neither,Neither,,Neither
P114,c_191,AS,Neither,B,B,,Neither
P114,c_202,HP,Neither,Neither,Neither,,Neither
P114,c_171,AS,Neither,Neither,Neither,,Neither
P114,c_136,HV,B,B,A,A,A
P114,c_140,HV,B,B,B,B,B
P114,c_142,HV,A,A,Neither,B,A
P114,c_158,AS,Neither,Neither,Neither,,Neither
P114,c_170,AS,Neither,A,Neither,,Neither
P114,c_161,AS,Neither,Neither,A,,B
P114,c_173,AS,Neither,B,Neither,,Neither
P114,c_003,HP,B,B,B,A,A
P050,c_190,AS,A,A,Neither,,B
P050,c_105,HP,B,A,B,B,B
P050,c_127,HP,A,B,A,A,A
P050,c_130,HP,A,A,A,Neither,B
P174,c_188,AS,Neither,Neither,B,,Neither
P174,c_137,HV,B,B,B,,B
P174,c_141,HV,B,Neither,B,,B
P174,c_200,AS,Neither,Neither,Neither,,Neither
P174,c_179,AS,Neither,Neither,Neither,,Neither
P174,c_103,HP,A,A,A,A,A
P174,c_146,HV,A,A,A,,A
P174,c_127,HP,A,A,A,A,A
P174,c_166,AS,Neither,Neither,Neither,,B
P174,c_161,AS,B,A,A,,A
P086,c_133,HV,B,B,B,B,B
P086,c_167,AS,Neither,B,Neither,,Neither
P086,c_149,HV,Neither,Neither,Neither,Neither,B
P111,c_006,HV,Neither,Neither,B,,B
P111,c_138,HV,B,B,A,B,B
P111,c_128,HP,B,Neither,Neither,Neither,Neither
P111,c_126,HP,Neither,A,B,B,B
P111,c_200,AS,Neither,Neither,Neither,,Neither
P111,c_149,HV,Neither,Neither,Neither,A,Neither
P111,c_140,HV,B,B,B,B,B
P111,c_134,HV,B,B,Neither,Neither,Neither
P083,c_195,AS,Neither,Neither,Neither,,Neither
P111,c_177,AS,A,A,Neither,,Neither
P083,c_125,HP,B,B,Neither,B,B
P111,c_150,HV,A,A,Neither,B,B
P083,c_129,HP,Neither,B,B,B,B
P178,c_129,HP,A,A,Neither,B,B
P083,c_133,HV,Neither,B,B,B,B
P083,c_163,AS,B,B,A,,B
P178,c_194,AS,Neither,Neither,Neither,,Neither
P083,c_134,HV,B,B,B,B,B
P083,c_208,HV,B,B,B,A,B
P178,c_149,HV,Neither,Neither,Neither,B,Neither
P083,c_199,AS,Neither,Neither,Neither,,B
P083,c_146,HV,Neither,B,Neither,,A
P083,c_123,HP,A,A,Neither,,A
P178,c_113,HP,A,Neither,Neither,Neither,Neither
P178,c_115,HP,Neither,Neither,A,A,A
P178,c_133,HV,Neither,B,B,B,B
P178,c_207,HV,B,B,Neither,B,B
P086,c_109,HV,B,B,B,,B
P086,c_174,AS,Neither,Neither,Neither,,Neither
P086,c_121,HP,A,A,A,B,B
P086,c_183,AS,Neither,Neither,B,,Neither
