case_id,category,overall_agreement_pct,case_fleiss_kappa,melody_decision,melody_agreement,melody_n,harmony_decision,harmony_agreement,harmony_n,rhythm_decision,rhythm_agreement,rhythm_n,voice_decision,voice_agreement,voice_n,timbre_decision,timbre_agreement,timbre_n
c_001,HP,80.0,0.1875,B,83.3,6,B,83.3,6,B,83.3,6,B,100.0,6,A,50.0,6
c_002,HP,65.0,-0.0356,A,100.0,4,A,50.0,4,A,75.0,4,A,50.0,4,Neither,50.0,4
c_003,HP,85.0,0.4828,B,100.0,4,B,75.0,4,B,75.0,4,A,100.0,4,A,75.0,4
c_004,HP,70.0,0.2126,A,100.0,4,A,75.0,4,A,50.0,4,B,50.0,4,Neither,75.0,4
c_005,HP,90.0,0.6825,A,100.0,4,A,100.0,4,A,100.0,4,Neither,100.0,4,A,50.0,4
c_006,HV,75.0,0.2574,Neither,60.0,5,B,40.0,5,B,100.0,5,NULL,,0,B,100.0,5
c_007,HV,70.0,-0.087,Neither,75.0,4,A,50.0,4,Neither,50.0,4,Neither,100.0,4,Neither,75.0,4
c_008,HV,68.0,-0.0762,Neither,80.0,5,Neither,60.0,5,Neither,80.0,5,Neither,60.0,5,Neither,60.0,5
c_009,HV,80.0,0.3382,Neither,66.7,3,Neither,66.7,3,A,100.0,3,Neither,100.0,3,B,66.7,3
c_010,HV,91.7,-0.0909,B,100.0,3,B,66.7,3,B,100.0,3,NULL,,0,B,100.0,3
c_011,HP,90.0,0.4949,A,80.0,5,Tie A/B,,5,Neither,80.0,5,B,100.0,5,B,100.0,5
c_012,HP,60.0,-0.1009,Neither,60.0,5,Neither,60.0,5,B,80.0,5,NULL,,0,B,40.0,5
c_013,HP,95.0,0.7802,A,100.0,4,A,100.0,4,A,100.0,4,B,100.0,4,B,75.0,4
c_014,HP,75.0,0.1941,B,100.0,4,B,100.0,4,B,50.0,4,Neither,75.0,4,B,50.0,4
c_015,HP,73.4,-0.2766,A,66.7,3,A,66.7,3,A,66.7,3,A,100.0,3,A,66.7,3
c_016,HP,52.0,-0.052,A,40.0,5,B,40.0,5,A,60.0,5,B,60.0,5,B,60.0,5
c_017,HP,93.8,-0.0667,A,100.0,4,A,100.0,4,A,100.0,4,NULL,,0,A,75.0,4
c_018,HP,50.0,-0.1983,A,60.0,5,A,40.0,5,A,60.0,5,NULL,,0,A,40.0,5
c_019,HP,86.7,-0.1538,B,66.7,3,B,100.0,3,B,100.0,3,B,100.0,3,B,66.7,3
c_020,HP,87.5,0.0805,B,100.0,4,B,100.0,4,B,100.0,4,NULL,,0,B,50.0,4
c_021,HP,80.0,0.0426,A,66.7,3,A,100.0,3,A,66.7,3,Neither,66.7,3,A,100.0,3
c_022,HP,60.0,-0.1966,B,75.0,4,Neither,50.0,4,B,50.0,4,B,75.0,4,B,50.0,4
c_023,HP,75.0,-0.0309,A,75.0,4,A,75.0,4,A,75.0,4,B,75.0,4,A,75.0,4
c_024,HP,65.0,0.0031,B,50.0,4,B,50.0,4,B,100.0,4,Neither,75.0,4,B,50.0,4
c_025,HP,73.4,0.1176,B,100.0,3,B,66.7,3,B,66.7,3,A,66.7,3,A,66.7,3
c_026,HP,92.0,-0.0638,A,100.0,5,A,100.0,5,A,100.0,5,A,80.0,5,A,80.0,5
c_027,HP,86.7,0.375,B,100.0,3,B,100.0,3,B,100.0,3,A,66.7,3,B,66.7,3
c_028,HP,65.0,-0.0356,A,100.0,4,A,50.0,4,A,75.0,4,A,50.0,4,Neither,50.0,4
c_029,HP,60.0,-0.0644,Neither,75.0,4,B,50.0,4,A,50.0,4,Neither,75.0,4,A,50.0,4
c_030,HP,83.3,-0.2,A,100.0,3,A,100.0,3,A,66.7,3,NULL,,0,A,66.7,3
c_031,HV,72.0,-0.0417,Neither,100.0,5,Neither,80.0,5,Neither,80.0,5,A,40.0,5,Neither,60.0,5
c_032,HV,80.0,0.288,Neither,75.0,4,Neither,50.0,4,Neither,100.0,4,Neither,100.0,4,A,75.0,4
c_033,HV,86.7,0.4915,A,100.0,3,A,100.0,3,A,66.7,3,B,100.0,3,B,66.7,3
c_034,HV,92.0,0.5,B,100.0,5,B,100.0,5,B,100.0,5,B,80.0,5,Neither,80.0,5
c_035,HV,85.0,0.3407,A,75.0,4,A,75.0,4,B,75.0,4,B,100.0,4,B,100.0,4
c_036,HV,95.0,-0.0526,A,100.0,4,A,75.0,4,A,100.0,4,A,100.0,4,A,100.0,4
c_037,HV,86.7,0.4643,B,100.0,3,B,100.0,3,A,66.7,3,A,66.7,3,A,100.0,3
c_038,HV,68.8,0.0175,B,75.0,4,A,50.0,4,A,75.0,4,NULL,,0,B,75.0,4
