case_id,category,melody,harmony,rhythm,voice,timbre
c_001,HP,0.6666666666666666,0.8333333333333334,0.8333333333333334,1.0,-0.3333333333333333
c_002,HP,-1.0,-0.5,-0.75,-0.5,0.0
c_003,HP,1.0,0.5,0.75,-1.0,-0.75
c_004,HP,-1.0,-0.75,-0.25,0.5,0.25
c_005,HP,-1.0,-1.0,-1.0,0.0,-0.5
c_006,HV,0.0,0.2,1.0,,1.0
c_007,HV,0.25,-0.5,0.0,0.0,-0.25
c_008,HV,-0.2,-0.4,0.2,0.4,0.4
c_009,HV,-0.3333333333333333,-0.3333333333333333,-1.0,0.0,0.3333333333333333
c_010,HV,1.0,0.6666666666666666,1.0,,1.0
c_011,HP,-0.8,0.0,-0.2,1.0,1.0
c_012,HP,0.4,0.4,0.8,,0.2
c_013,HP,-1.0,-1.0,-1.0,1.0,0.5
c_014,HP,1.0,1.0,0.5,0.25,0.5
c_015,HP,-0.6666666666666666,-0.3333333333333333,-0.6666666666666666,-1.0,-0.6666666666666666
c_016,HP,-0.2,0.2,-0.2,0.6,0.2
c_017,HP,-1.0,-1.0,-1.0,,-0.5
c_018,HP,-0.6,-0.2,-0.4,,-0.2
c_019,HP,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666
c_020,HP,1.0,1.0,1.0,,0.25
c_021,HP,-0.3333333333333333,-1.0,-0.6666666666666666,-0.3333333333333333,-1.0
c_022,HP,0.75,0.0,0.25,0.75,0.25
c_023,HP,-0.75,-0.5,-0.5,0.5,-0.5
c_024,HP,0.5,0.5,1.0,0.25,0.25
c_025,HP,1.0,0.6666666666666666,0.6666666666666666,-0.6666666666666666,-0.3333333333333333
c_026,HP,-1.0,-1.0,-1.0,-0.6,-0.8
c_027,HP,1.0,1.0,1.0,-0.6666666666666666,0.6666666666666666
c_028,HP,-1.0,-0.5,-0.75,-0.5,0.0
c_029,HP,0.25,0.5,-0.25,-0.25,-0.5
c_030,HP,-1.0,-1.0,-0.6666666666666666,,-0.6666666666666666
c_031,HV,0.0,0.2,0.2,-0.2,0.0
c_032,HV,0.25,0.0,0.0,0.0,-0.5
c_033,HV,-1.0,-1.0,-0.6666666666666666,1.0,0.3333333333333333
c_034,HV,1.0,1.0,1.0,0.8,0.2
c_035,HV,-0.5,-0.5,0.5,1.0,1.0
c_036,HV,-1.0,-0.5,-1.0,-1.0,-1.0
c_037,HV,1.0,1.0,-0.3333333333333333,-0.3333333333333333,-1.0
c_038,HV,0.75,-0.25,-0.5,,0.5
c_039,HV,-1.0,-1.0,-0.5,0.5,-0.5
c_040,HV,0.0,0.3333333333333333,0.6666666666666666,0.5,0.8333333333333334
c_041,HV,0.0,0.3333333333333333,-0.3333333333333333,-1.0,-1.0
c_042,HV,0.42857142857142855,0.0,0.5714285714285714,,1.0
c_043,HV,0.3333333333333333,1.0,1.0,1.0,1.0
c_044,HV,-1.0,-1.0,-1.0,0.2,0.0
c_045,HV,0.0,-0.2,0.0,-0.6,-0.2
c_046,HV,-1.0,-1.0,0.2,0.6,-0.4
c_047,HV,1.0,0.6,0.8,,0.6
c_048,HV,-1.0,-1.0,-0.5,-0.25,0.0
c_049,HV,1.0,1.0,1.0,,1.0
c_050,HV,-1.0,-1.0,-1.0,-0.6666666666666666,-0.3333333333333333
c_051,AS,0.25,0.25,0.0,,0.25
c_052,AS,-0.25,-0.25,0.0,,0.25
c_053,AS,0.0,-0.3333333333333333,0.3333333333333333,,0.3333333333333333
c_054,AS,-0.6666666666666666,-0.6666666666666666,-0.3333333333333333,,0.0
c_055,AS,-0.25,-0.25,-0.25,,0.0
c_056,AS,0.25,-0.25,0.0,,-1.0
c_057,AS,0.0,-0.6666666666666666,-0.3333333333333333,,0.0
c_058,AS,0.25,-0.25,-0.25,,-0.25
c_059,AS,0.3333333333333333,-0.3333333333333333,0.3333333333333333,,-0.6666666666666666
c_060,AS,0.0,0.0,0.3333333333333333,,0.3333333333333333
c_061,AS,1.0,0.0,1.0,,-0.3333333333333333
c_062,AS,0.25,-0.25,0.0,,0.25
c_063,AS,-1.0,-0.3333333333333333,0.3333333333333333,,0.3333333333333333
c_064,AS,-0.6,-0.4,-0.6,,0.4
c_065,AS,-0.25,0.0,0.25,,0.5
c_066,AS,0.25,0.75,0.25,,-0.25
c_067,AS,-0.2,-0.4,0.4,,0.0
c_068,AS,-0.5,-1.0,-0.25,,0.0
c_069,AS,-0.3333333333333333,-0.3333333333333333,0.0,,-0.3333333333333333
c_070,AS,0.0,-0.2,0.2,,0.2
c_071,AS,0.0,0.0,0.25,,0.25
c_072,AS,-0.5,-0.25,0.0,,0.25
c_073,AS,0.25,0.5,0.25,,0.0
c_074,AS,0.25,0.5,0.75,,0.5
c_075,AS,0.0,0.25,1.0,,0.0
c_076,AS,0.0,0.2,0.2,,-0.2
c_077,AS,0.6,0.0,0.8,,0.8
c_078,AS,0.3333333333333333,-0.6666666666666666,0.3333333333333333,,0.3333333333333333
c_079,AS,0.0,0.4,-0.6,,0.4
c_080,AS,-0.25,-0.5,0.5,,0.5
c_081,AS,0.5,-0.125,0.625,,-0.25
c_082,AS,0.0,0.0,0.0,,-0.5
c_083,AS,1.0,0.75,0.0,,0.75
c_084,AS,0.75,1.0,-0.25,,-0.25
c_085,AS,0.25,0.25,0.25,,-1.0
c_086,AS,-0.3333333333333333,0.6666666666666666,0.0,,-0.6666666666666666
c_087,AS,-0.2,0.4,0.0,,1.0
c_088,AS,0.0,0.25,0.25,,-0.5
c_089,AS,-0.16666666666666666,-0.16666666666666666,0.0,,0.16666666666666666
c_090,AS,-0.25,0.0,0.5,,0.0
c_091,AS,0.0,-0.3333333333333333,-0.6666666666666666,,0.0
c_092,AS,-0.16666666666666666,-0.16666666666666666,-0.5,,-0.5
c_093,AS,0.3333333333333333,-0.3333333333333333,0.3333333333333333,,-0.3333333333333333
c_094,AS,0.25,0.25,0.75,,0.0
c_095,AS,-0.2,0.0,-0.2,,-0.2
c_096,AS,0.2,-0.6,-0.2,,-0.4
c_097,AS,0.5,0.0,0.75,,0.0
c_098,AS,0.0,0.0,-0.3333333333333333,,-0.3333333333333333
c_099,AS,-0.3333333333333333,-0.3333333333333333,0.0,,0.0
c_100,AS,0.0,0.0,0.0,,0.0
c_101,HP,-0.5,-0.75,-0.5,-0.75,-0.25
c_102,HP,1.0,1.0,1.0,-0.25,0.0
c_103,HP,-1.0,-1.0,-1.0,-1.0,-1.0
c_104,HP,1.0,0.0,1.0,0.25,0.25
c_105,HP,0.5,0.5,1.0,1.0,1.0
c_106,HV,0.0,0.25,0.0,0.25,0.5
c_107,HV,-0.25,-0.5,-0.75,-0.25,-0.5
c_108,HV,0.0,0.5,0.0,0.25,0.0
c_109,HV,0.75,1.0,1.0,,1.0
c_110,HV,-1.0,-1.0,-1.0,-1.0,-1.0
c_111,HP,-0.3333333333333333,-0.6666666666666666,-0.3333333333333333,0.0,0.6666666666666666
c_112,HP,-1.0,-0.3333333333333333,0.6666666666666666,-0.6666666666666666,-0.3333333333333333
c_113,HP,-1.0,-0.25,-0.25,0.0,0.5
c_114,HP,-0.75,-0.75,-0.5,0.0,-0.25
c_115,HP,0.0,0.0,-1.0,-0.3333333333333333,-0.6666666666666666
c_116,HP,0.5,-0.25,0.75,-1.0,-0.5
c_117_1,HP,0.5,0.5,0.25,-0.25,-0.5
c_118,HP,1.0,1.0,0.3333333333333333,,1.0
c_119,HP,0.6666666666666666,0.6666666666666666,1.0,-1.0,-0.3333333333333333
c_120,HP,1.0,-0.3333333333333333,-1.0,-0.3333333333333333,-0.3333333333333333
c_121,HP,-1.0,-1.0,-0.3333333333333333,0.6666666666666666,0.3333333333333333
c_122,HP,-1.0,-1.0,-1.0,,-1.0
c_123,HP,-1.0,-1.0,-0.3333333333333333,,-1.0
c_124,HP,-1.0,-1.0,0.3333333333333333,,-0.3333333333333333
c_125,HP,1.0,1.0,0.6666666666666666,1.0,1.0
c_126,HP,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0
c_127,HP,-1.0,-0.5,-1.0,-1.0,-1.0
c_128,HP,0.5,0.25,0.0,-0.25,-0.25
c_129,HP,-0.6666666666666666,-0.3333333333333333,0.3333333333333333,1.0,1.0
c_130,HP,0.16666666666666666,0.16666666666666666,-0.3333333333333333,0.16666666666666666,0.6666666666666666
c_131,HV,0.25,-0.25,-1.0,0.75,-0.25
c_132,HV,-1.0,-1.0,-1.0,,-1.0
c_133,HV,0.3333333333333333,1.0,1.0,1.0,1.0
c_134,HV,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
c_135,HV,-0.75,-0.25,-0.25,0.5,0.25
c_136,HV,1.0,0.6666666666666666,-0.6666666666666666,-0.6666666666666666,-0.6666666666666666
c_137,HV,0.0,0.75,0.0,,0.5
c_138,HV,1.0,1.0,-0.3333333333333333,0.6666666666666666,0.3333333333333333
c_139,HV,-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,-0.3333333333333333,-1.0
c_140,HV,1.0,1.0,1.0,1.0,1.0
c_141,HV,0.3333333333333333,0.3333333333333333,0.6666666666666666,,1.0
c_142,HV,-1.0,-1.0,-0.3333333333333333,0.6666666666666666,-1.0
c_143,HV,0.0,-0.25,0.0,-0.25,-0.25
c_144,HV,1.0,1.0,0.6666666666666666,0.3333333333333333,-0.3333333333333333
c_145,HV,1.0,1.0,1.0,1.0,1.0
c_146,HV,-0.5,0.25,-0.5,,-1.0
c_147,HV,1.0,-0.3333333333333333,-1.0,-1.0,-1.0
c_148,HV,1.0,1.0,0.3333333333333333,-0.3333333333333333,0.3333333333333333
c_149,HV,0.0,0.0,0.0,-0.25,0.0
c_150,HV,-1.0,-1.0,-0.4,0.4,0.2
c_151,AS,0.0,0.0,0.3333333333333333,,0.0
c_152,AS,0.0,0.25,0.0,,-0.25
c_153,AS,0.5,0.25,-0.5,,0.25
c_154,AS,-1.0,-0.6666666666666666,-0.6666666666666666,,-0.3333333333333333
c_155,AS,0.3333333333333333,0.3333333333333333,0.0,,0.3333333333333333
c_156,AS,0.0,0.3333333333333333,0.0,,0.0
c_157,AS,0.5,-0.25,0.0,,0.5
c_158,AS,0.25,0.25,0.0,,0.25
