country,count,percentage,continent
Spain,31,37.3%,Europe
Germany,9,10.8%,Europe
United States of America (the),6,7.2%,North and Central America
India,5,6.0%,Asia
United Kingdom of Great Britain and Northern Ireland (the),4,4.8%,Europe
Brazil,4,4.8%,South America
Italy,3,3.6%,Europe
Netherlands (the),3,3.6%,Europe
Korea (the Republic of),3,3.6%,Asia
France,2,2.4%,Europe
Greece,2,2.4%,Europe
Japan,2,2.4%,Asia
China,2,2.4%,Asia
Switzerland,1,1.2%,Europe
Egypt,1,1.2%,Africa
Sweden,1,1.2%,Europe
Portugal,1,1.2%,Europe
Colombia,1,1.2%,South America
Chile,1,1.2%,South America
Guatemala,1,1.2%,North and Central America
