case_idraw_,case_origin,section,is_control,has_vocals,ref_id,ref_origin,ref_title,ref_link,ref_genre,ref_language,ref_timestamp,sampleA_id,sampleA_origin,sampleA_title,sampleA_link,sampleA_genre,sampleA_language,sampleA_timestamp,sampleB_id,sampleB_origin,sampleB_title,sampleB_link,sampleB_source,sampleB_genre,sampleB_language,sampleB_timestamp,tr_strategy
c_001,human,HP,1,1,c_ref_001,smp_ac_112,The Gap Band - Oops Upside Your Head,https://www.youtube.com/watch?v=IeHDnF7MU90,"r&b, soul",english,00:11-00:19,c_sA_001,same style/genre,Outkast - Hey Ya! ,https://www.youtube.com/watch?v=PWgvGjAhvIw,"pop, funk, soul, hip-hop",english,01:34-01:42,c_sB_001,smp_ac_112,Mark Ronson - Uptown Funk,https://www.youtube.com/watch?v=OPf0YbXqDm0,yt,"funk, pop, soul",english,03:54-04:01,same style/genre
c_002,human,HP,1,1,c_ref_002,smp_ac_120,Love is a Wonderful Thing - The Isley Brothers,https://www.youtube.com/watch?v=MWh3GF8wrug,"soul, funk",english,00:14-00:24,c_sA_002,smp_ac_120,Love is a Wonderful Thing - Michael Bolton,https://www.youtube.com/watch?v=H_ezMbv2sr4,r&b,english,00:51-01:01,c_sB_002,same style/genre,Lionel Richie - All Night Long ,https://www.youtube.com/watch?v=nqAvFx3NxUM,yt,"rock, soul, r&b, funk",english,00:33-00:42,same style/genre
c_003,human,HP,1,1,c_ref_003,smp_ac_113,Las Chicas Del Can El Negro No Puede,https://www.youtube.com/watch?v=XhIW0ft94aQ,"pop, latin",spanish,00:21-00:34,c_sA_003,same artist as ref,Juana la Cubana - Las Chicas del Can,https://www.youtube.com/watch?v=_gGwBmmnYls,"pop, latin, merenge",spanish,01:10-01:18,c_sB_003,smp_ac_113,Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),https://www.youtube.com/watch?v=pRpeEdMmmQ0,yt,"pop, afropop","spanish, english",01:03-01:10,same artist as ref
c_004,human,HP,1,1,c_ref_004,smp_ac_18,Jo Deok Bae - Naui Yennal Iyagi,https://www.youtube.com/watch?v=fwucDkRlb3M,"folk, blues",korean,00:26-00:35,c_sA_004,smp_ac_18,Design - Moon Geun Young,https://www.youtube.com/watch?v=CK6J3lU8FaQ,pop,korean,00:31-00:38,c_sB_004,same style/genre,김민종 귀천도애(歸天道哀),https://www.youtube.com/watch?v=UgSkgXFMxBU,yt,rock,korean,02:53-03:05,same style/genre
c_005,human,HP,1,1,c_ref_005,smp_ac_20,Saito Yuki - Jeongyeol,https://www.youtube.com/watch?v=HA5lfZAKytA,pop,japanese,00:24-00:36,c_sA_005,smp_ac_20,Byeon Jin Seop - Laura,https://www.youtube.com/watch?v=v62Fi5R1xRw,pop,korean,00:36-00:49,c_sB_005,suggested song,소방차(Sobangcha) - 어젯밤 이야기,https://www.youtube.com/watch?v=2wyk6mnm1FA,yt,"pop rock, synth-pop, new wave",korean,01:37-01:46,suggested song
c_006,human,HV,1,0,c_ref_006,C-0165968,Mi Sono Innamorato Di Te - Dino Rubino,https://www.youtube.com/watch?v=WIFiN1bVoD0,jazz,-,00:31-00:39,c_sA_006,same style/genre,Kokoroko - ABUSEY JUNCTION,https://www.youtube.com/watch?v=tSv04ylc6To,"jazz, afrobeat",-,00:34-00:44,c_sB_006,different section of ref track,Mi Sono Innamorato Di Te - Dino Rubino,https://www.youtube.com/watch?v=WIFiN1bVoD0,yt,jazz,-,01:00-01:11,same style/genre
c_007,human,HV,1,1,c_ref_007,C-0095324,Luz Casal - El Tren,https://www.youtube.com/watch?v=I8jV8cQqL18,rock,spanish,00:50-01:02,c_sA_007,nothing in common,BAD BUNNY - NUEVAYoL,https://www.youtube.com/watch?v=KU5V5WZVcVE,"pop, latin, dembow",spanish,01:12-01:23,c_sB_007,nothing in common,Manu Chao - Me Gustas Tu,https://www.youtube.com/watch?v=rs6Y4kZ8qtw,yt,"pop, latin, reggae",spanish,00:51-01:01,nothing in common
c_008,human,HV,1,1,c_ref_008,C-0154173,Maria João - O Silêncio Das Estrelas,https://www.youtube.com/watch?v=l6cNK768_pg,jazz,portuguese,01:15-01:27,c_sA_008,nothing in common,BAD BUNNY - DtMF,https://www.youtube.com/watch?v=TiebZllW8As,"pop, latin, reggaeton, rap",spanish,01:23-01:33,c_sB_008,nothing in common,Maria Gadú - Shimbalaiê,https://www.youtube.com/watch?v=PZxUd4XYGkc,yt,"latin, pop, maracatu",portuguese,01:42-01:51,nothing in common
c_009,human,HV,1,1,c_ref_009,C-0065992,Guns N' Roses - Reckless Life,https://www.youtube.com/watch?v=G96ix4DkLk0,rock,english,00:38-00:46,c_sA_009,same style/genre,Green Day - American Idiot,https://www.youtube.com/watch?v=Ee_uujKuJMI,"rock, pop, punk",english,00:31-00:40,c_sB_009,similar style/genre,Sum 41 - In Too Deep,https://www.youtube.com/watch?v=emGri7i8Y2Y,yt,"pop, punk",english,00:45-00:56,nothing in common
c_010,human,HV,1,0,c_ref_010,C-0043178,Pointer Sisters - I'm So Excited,https://www.youtube.com/watch?v=F6m53yhdrGA,"electronic, funk, synth-pop",english,00:11-00:20,c_sA_010,suggested song,L'Impératrice - Agitations Tropicales,https://www.youtube.com/watch?v=jda_k6r9R1A,"indie, pop, disco",french,00:27-00:36,c_sB_010,different section of ref track,Pointer Sisters - I'm So Excited,https://www.youtube.com/watch?v=F6m53yhdrGA,yt,"electronic, funk, synth-pop",english,00:21-00:28,different section of ref track
c_011,human,HP,0,1,c_ref_011,smp_ac_26,Edith Piaf - Hymne à l'amour ,https://www.youtube.com/watch?v=sgBldNsK-xw,pop,french,00:14-00:25,c_sA_011,smp_ac_26,Shin In Su - Jangmiui Miso,https://www.youtube.com/watch?v=wf5XPn1D_3w,pop,korean,01:01-01:10,c_sB_011,same artist as ref,Edith Piaf - La vie en rose,https://www.youtube.com/watch?v=rzeLynj1GYM,yt,"jazz, pop, dub",french,01:42-01:53,same artist as ref
c_012,human,HP,0,0,c_ref_012,smp_ac_19,Saito Yuki - Jeongyeol,https://www.youtube.com/watch?v=HA5lfZAKytA,pop,-,00:00-00:07,c_sA_012,suggested song,김밥 (Gimbap) -  Jadu,https://www.youtube.com/watch?v=prTlJcipGbo,pop,-,00:03-00:11,c_sB_012,smp_ac_19,Byeon Jin Seop - Laura,https://www.youtube.com/watch?v=v62Fi5R1xRw,yt,pop,-,00:00-00:07,suggested song
c_013,human,HP,0,1,c_ref_013,smp_ac_49,FAKE LOVE - BTS,https://www.youtube.com/watch?v=7C2z4GqqS5E,"hip-hop, rock, pop","korean, japanese",00:19-00:30,c_sA_013,smp_ac_49,Seiell - Scenne Nenne MV (Plagiat BTS Fake Love),https://www.youtube.com/watch?v=6yYV9pHhDHI,pop,italian,00:04-00:15,c_sB_013,same artist as ref,DNA - BTS,https://www.youtube.com/watch?v=MBdVXkSdhwU,yt,pop,korean,00:50-00:57,same artist as ref
c_014,human,HP,0,1,c_ref_014,smp_ac_50,FAKE LOVE - BTS,https://www.youtube.com/watch?v=7C2z4GqqS5E,"hip-hop, rock, pop","korean, japanese",01:46-01:51,c_sA_014,same style/genre,홍진영] HONGJINYOUNG 사랑은 꽃잎처럼 (Love is like a petal),https://www.youtube.com/watch?v=aTx5trrmYCQ,pop,korean,01:00-01:10,c_sB_014,smp_ac_50,Seiell - Scenne Nenne MV (Plagiat BTS Fake Love),https://www.youtube.com/watch?v=6yYV9pHhDHI,yt,pop,italian,00:28-00:34,same style/genre
c_015,human,HP,0,1,c_ref_015,smp_ac_48,FAKE LOVE - BTS,https://www.youtube.com/watch?v=7C2z4GqqS5E,"hip-hop, rock, pop","korean, japanese",00:31-00:42,c_sA_015,smp_ac_48,Seiell - Scenne Nenne MV (Plagiat BTS Fake Love),https://www.youtube.com/watch?v=6yYV9pHhDHI,pop,italian,00:17-00:27,c_sB_015,same style/genre,HONG JINYOUNG(홍진영) _ Love Tonight(오늘 밤에),https://www.youtube.com/watch?v=5zONW_hyI5A,yt,pop,korean,00:20-00:27,same style/genre
